brand,type,year,color,mileage,fuel,gearbox,body,front_chassis,rear chassis,price
پژو,پارس - XU7,1384,نقره ای,200000,بنزینی,دنده ای,بدون رنگ,,,360000000
لیفان,620 - 1.8 لیتر,1396,سفید,140000,بنزینی,دنده ای,بدون رنگ,,,470000000
تویوتا,کمری - GLX,2015,مشکی,38000,بنزینی,اتوماتیک,بدون رنگ,,,4980000000
لکسوس,IS - 250 fsport,2015,سفید,42000,بنزینی,اتوماتیک,بدون رنگ,,,66000000000
پژو,206 - تیپ 3,1383,نقره ای,229419,بنزینی,دنده ای,دور رنگ,210000000
آریسان,دوگانه سوز - 1.7 لیتر,1395,سفید,186000,دوگانه سوز,دنده ای,بدون رنگ,255000000
لکسوس,RX - 350,2013,مشکی,24000,بنزینی,اتوماتیک,بدون رنگ,8500000000
